orig;new
Afghanistan;Afghanistan
Albania;Albania
Algeria;Algeria
Angola;Angola
Argentina;Argentina
Armenia;Armenia
Australia;Australia
Austria;Austria
Azerbaijan;Azerbaijan
Bangladesh;Bangladesh
Belarus;Belarus
Belgium;Belgium
Benin;Benin
Bhutan;Bhutan
Bolivia;Bolivia
Bosnia and Herzegovina;Bosnia and Herz.
Botswana;Botswana
Brazil;Brazil
Bulgaria;Bulgaria
Burkina Faso;Burkina Faso
Burundi;Burundi
Cambodia;Cambodia
Cameroon;Cameroon
Canada;Canada
Chad;Chad
Chile;Chile
China;China
Colombia;Colombia
Congo (Brazzaville);Congo
Congo (Kinshasa);Dem. Rep. Congo
Costa Rica;Costa Rica
Croatia;Croatia
Cyprus;Cyprus
Czech Republic;Czech Rep.
Denmark;Denmark
Dominican Republic;Dominican Rep.
Ecuador;Ecuador
Egypt;Egypt
El Salvador;El Salvador
Estonia;Estonia
Ethiopia;Ethiopia
Finland;Finland
France;France
Gabon;Gabon
Georgia;Georgia
Germany;Germany
Ghana;Ghana
Greece;Greece
Guatemala;Guatemala
Guinea;Guinea
Haiti;Haiti
Honduras;Honduras
Hungary;Hungary
Iceland;Iceland
India;India
Indonesia;Indonesia
Iran;Iran
Iraq;Iraq
Ireland;Ireland
Israel;Israel
Italy;Italy
Jamaica;Jamaica
Japan;Japan
Jordan;Jordan
Kazakhstan;Kazakhstan
Kenya;Kenya
Kosovo;Kosovo
Kuwait;Kuwait
Kyrgyzstan;Kyrgyzstan
Latvia;Latvia
Lebanon;Lebanon
Liberia;Liberia
Libya;Libya
Lithuania;Lithuania
Luxembourg;Luxembourg
Macedonia;Macedonia
Madagascar;Madagascar
Malawi;Malawi
Malaysia;Malaysia
Mali;Mali
Mauritania;Mauritania
Mexico;Mexico
Moldova;Moldova
Mongolia;Mongolia
Montenegro;Montenegro
Morocco;Morocco
Myanmar;Myanmar
Nepal;Nepal
Netherlands;Netherlands
New Zealand;New Zealand
Nicaragua;Nicaragua
Niger;Niger
Nigeria;Nigeria
North Cyprus;N. Cyprus
Norway;Norway
Pakistan;Pakistan
Palestinian Territories;Palestine
Panama;Panama
Paraguay;Paraguay
Peru;Peru
Philippines;Philippines
Poland;Poland
Portugal;Portugal
Qatar;Qatar
Romania;Romania
Russia;Russia
Rwanda;Rwanda
Saudi Arabia;Saudi Arabia
Senegal;Senegal
Serbia;Serbia
Sierra Leone;Sierra Leone
Singapore;Singapore
Slovakia;Slovakia
Slovenia;Slovenia
Somaliland region;Somaliland
Somalia;Somalia
South Africa;South Africa
South Korea;Korea
Spain;Spain
Sri Lanka;Sri Lanka
Sudan;Sudan
Sweden;Sweden
Switzerland;Switzerland
Syria;Syria
Taiwan;Taiwan
Taiwan Province of China;Taiwan
Tajikistan;Tajikistan
Tanzania;Tanzania
Thailand;Thailand
Togo;Togo
Trinidad and Tobago;Trinidad and Tobago
Tunisia;Tunisia
Turkey;Turkey
Turkmenistan;Turkmenistan
Uganda;Uganda
Ukraine;Ukraine
United Arab Emirates;United Arab Emirates
United Kingdom;United Kingdom
United States;United States
Uruguay;Uruguay
Uzbekistan;Uzbekistan
Venezuela;Venezuela
Vietnam;Vietnam
Yemen;Yemen
Zambia;Zambia
Zimbabwe;Zimbabwe
